Name,DPI,Sensitivity,eDPI,Mouse,Mousepad,Monitor
bang,800,0.32,256,LOGITECH G PRO X SUPERLIGHT,Artisan Hayate Otsu Soft,ZOWIE XL2566K
Boostio,800,0.233,186.4,LAMZU MAYA X,ZOWIE G-SR-SE ROUGE,ZOWIE XL2566K
Cryocells,800,0.16,128,LAMZU MAYA X,Pulsar ES1 Alcantara Pro,ZOWIE XL2566K
eeiu,800,0.25,200,LOGITECH G PRO X SUPERLIGHT 2,Artisan Hayate Otsu Soft,ZOWIE XL2566K
sScary,1600,0.13,208,PULSAR X2H V2 ES,ZOWIE G-SR-SE BI-UI-Y,ZOWIE XL2546K
yay,800,0.27,216,LOGITECH G PRO X SUPERLIGHT 2,Artisan Hayate Otsu V2 Soft,ZOWIE XL2566K
moose,400,0.51,204,PULSAR X2 V2 - 1,Razer Gigantus V2,ZOWIE XL2546
OXY,800,0.23,184,RAZER VIPER MINI,ZOWIE G-SR-SE BI-UI-Y,ZOWIE XL2566K
runi,800,0.3,240,LOGITECH G PRO X SUPERLIGHT 2,ZOWIE G-SR-SE BI-UI-Y,ZOWIE XL2566K
vanity,1200,0.187,224.4,RAZER VIPER V3 PRO,Artisan Ninja FX Zero XSoft,ZOWIE XL2566K
xeppaa,800,0.35,280,ZOWIE EC2-C,SteelSeries QcK Heavy,ZOWIE XL2546K
BuZz,800,0.2,160,RAZER VIPER V3 PRO,Artisan Hayate Otsu XSoft,ZOWIE XL2566K
Foxy9,800,0.322,257.6,LOGITECH G PRO X SUPERLIGHT 2,VAXEE PA Mouse 2023 NY,ZOWIE XL2566K
MaKo,800,0.24,192,RAZER VIPER V3 PRO,Artisan Ninja FX Zero Soft,ZOWIE XL2566K
Apoth,800,0.2,160,LOGITECH G PRO X SUPERLIGHT,SteelSeries QcK+,ZOWIE XL2566K
Derrek,800,0.34,272,LOGITECH G PRO X SUPERLIGHT 2,Artisan FX Zero Soft,ZOWIE XL2546K
jawgemo,800,0.23,184,LOGITECH G PRO X SUPERLIGHT 2,ZOWIE G-SR-SE+,ZOWIE XL2566K
NaturE,1600,0.13,208,WLMouse BEAST X SILVER,Logitech G640 Original,ZOWIE XL2566K
supamen,800,0.284,227.2,VGN DRAGONFLY F1,Artisan Saturn Pro Soft,ZOWIE XL2546K
Alfajer,400,0.35,140,RAZER DEATHADDER V3 PRO,Artisan Ninja FX Zero Soft,ZOWIE XL2566K
Boaster,800,0.24,192,VGN DRAGONFLY F1,ZOWIE G-SR-SE BI-UI-Y,ZOWIE XL2566K
Chronicle,1600,0.125,200,VGN DRAGONFLY F1,Pulsar x2 Saturn Pro,ZOWIE XL2566K
Derke,800,0.25,200,LOGITECH G PRO X SUPERLIGHT 2,SteelSeries QcK Speed,ROG PG27AQDM
Leo,800,0.41,328,RAZER DEATHADDER V3 PRO,Artisan Ninja FX Zero XSoft,ZOWIE XL2566K
leaf,1000,0.128,128,LOGITECH G PRO X SUPERLIGHT 2,Logitech Mousepad,ZOWIE XL2566K
trent,1600,0.16,256,LOGITECH G PRO X SUPERLIGHT 2,Logitech Mousepad,ZOWIE XL2566K
valyn,1600,0.15,240,LOGITECH G PRO X SUPERLIGHT 2,Logitech G740,ZOWIE XL2566K
Karon,800,0.2,160,LOGITECH G PRO X SUPERLIGHT,X-raypad Aqua Control+,ZOWIE XL2566K
Lakia,800,0.3,240,RAZER VIPER V3 PRO,X-raypad Aqua Control+,ZOWIE XL2566K
Meteor,800,0.3,240,LOGITECH G PRO X SUPERLIGHT 2,Artisan Hayate Otsu Soft,ZOWIE XL2566K
Munchkin,800,0.35,280,RAZER VIPER V3 PRO,X-raypad Aqua Control+,ZOWIE XL2566K
t3xture,800,0.45,360,LOGITECH G PRO X SUPERLIGHT,SteelSeries QcK Heavy,ZOWIE XL2566K
Magnum,400,0.245,98,PULSAR X2 V2 - 1,SteelSeries QcK+,AOC C24G1
N4RRATE,1600,0.13,208,PULSAR TENZ EDITION,ZOWIE G-SR-SE BI-UI-Y,ZOWIE XL2566K
keznit,800,0.345,276,PULSAR X2 V2 - 1,Pulsar x2 Saturn Pro,ZOWIE XL2546K
aspas,800,0.4,320,LOGITECH G PRO X SUPERLIGHT 2,Artisan Ninja FX Zero Soft,ZOWIE XL2566K
kiNgg,1600,0.1,160,RAZER VIPER V3 PRO,Artisan Type-99 Mid,ROG PG259QN
Mazino,1600,0.17,272,LOGITECH G703,Artisan Type-99 Mid,ZOWIE XL2546K
cauanzin,1600,0.12,192,RAZER DEATHADDER V3 PRO,Pulsar ES2,ZOWIE XL2566K
Less,800,0.33,264,LOGITECH G PRO X SUPERLIGHT,Artisan Type-99 Soft,ZOWIE XL2566K
Saadhak,800,0.25,200,LOGITECH G PRO X SUPERLIGHT,VAXEE PA BI-UI,ZOWIE XL2566K
ANGE1,400,0.4,160,LOGITECH G PRO X SUPERLIGHT 2,Artisan Type-99 Mid,ZOWIE XL2546K
Shao,1600,0.12,192,LOGITECH G PRO X SUPERLIGHT 2,Artisan Ninja FX Zero Soft,ZOWIE XL2546
Demon1,1600,0.1,160,ASUS ROG HARPE ACE 2,Pulsar x Demon1 Cloth,ZOWIE XL2566K
Ethan,400,0.35,140,LAMZU MAYA WHITE,VAXEE PA Black,ZOWIE XL2546K
d4v41,800,0.25,200,RAZER VIPER V3 PRO RED,Custom Mousepad,ZOWIE XL2566K
f0rsakeN,800,0.22,176,PULSAR X2H V2 - 1,Pulsar x G2 Saturn Pro,ZOWIE XL2566K
jinggg,1600,0.125,200,V-HUBBARD ART-S - 01,Artisan Hayate Otsu XSoft,ZOWIE XL2566K
mindfreak,400,0.42,168,VAXEE ZYGEN NP-01S,Artisan Ninja FX Zero Soft,ZOWIE XL2546K
something,800,0.58,464,LAMZU MAYA X WHITE,Pulsar x2 Saturn Pro,ZOWIE XL2566K
johnqt,400,0.8,320,LOGITECH G PRO X SUPERLIGHT 2,Artisan Ninja FX Zero Soft,ZOWIE XL2566K
Sacy,800,0.44,352,LOGITECH G PRO X SUPERLIGHT 2,Pulsar x2 Saturn Pro,ZOWIE XL2546
TenZ,1600,0.1,160,PULSAR TENZ EDITION,Artisan Ninja FX Zero XSoft,SONY INZONE M10S
zekken,1600,0.1,160,RAZER VIPER V3 PRO BLACK,Artisan Type-99 Mid,ZOWIE XL2566K
Zellsis,400,0.43,172,RAZER VIPER V3 PRO WHITE,Razer Gigantus V2,ZOWIE XL2566K
benjyfishy,800,0.283,226.4,LOGITECH G PRO X2,Gamesense Radar,ZOWIE XL2566K
Boo,800,0.28,224,RAZER VIPER V3 PRO WHITE,Logitech G740,ZOWIE XL2566K
MiniBoo,800,0.32,256,RAZER DEATHADDER V3 PRO,Logitech G640,ZOWIE XL2566K
RieNs,800,0.27,216,LOGITECH G PRO X SUPERLIGHT 2,Artisan Ninja FX Zero XSoft,ZOWIE XL2566K
Wo0t,800,0.3,240,LOGITECH G PRO X SUPERLIGHT 2,Logitech G740,ZOWIE XL2566K
Jamppi,800,0.42,336,VAXEE XE-S WIRELESS,VAXEE PA M-P-A,ZOWIE XL2566K
nAts,800,0.49,392,ZOWIE EC2-CW BLACK,ZOWIE G-SR-SE,ZOWIE XL2546K
